Liga,Tahun,position,team,matches,wins,draws,loses,scored,missed,xGA,xpts
La_liga,2014,1,Barcelona,38,30,4,4,110,21,"2,844,429,270,000,000","9,408,129,999,999,990"
La_liga,2014,2,Real Madrid,38,30,2,6,118,38,"42,607,198,000,000,000","817,489"
La_liga,2014,3,Atletico Madrid,38,23,9,6,67,29,"29,069,107,100,000,000","7,313,530,000,000,000"
La_liga,2014,4,Valencia,38,22,11,5,70,32,"39,392,571,999,999,900","637,068"
La_liga,2014,5,Sevilla,38,23,7,8,71,45,"4,786,274,200,000,000","6,738,669,999,999,990"
La_liga,2014,6,Villarreal,38,16,12,10,48,37,"4,070,181,300,000,000","62,736,299,999,999,900"
La_liga,2014,7,Athletic Club,38,15,10,13,42,41,"441,067,075","533,585"
La_liga,2014,8,Celta Vigo,38,13,12,13,47,44,"5,177,713,800,000,000","5,504,879,999,999,990"
La_liga,2014,9,Malaga,38,14,8,16,42,48,"54,130,818","48,512,800,000,000,000"
La_liga,2014,10,Rayo Vallecano,38,15,4,19,46,68,"7,043,346","4,354,550,000,000,000"
La_liga,2014,11,Espanyol,38,13,10,15,47,51,"4,830,391,579,999,990","50,384,999,999,999,900"
La_liga,2014,12,Real Sociedad,38,11,13,14,44,51,"5,115,811,800,000,000","3,878,179,999,999,990"
La_liga,2014,13,Elche,38,11,8,19,35,62,"58,071,769,999,999,900","40,671,800,000,000,000"
La_liga,2014,14,Getafe,38,10,7,21,33,64,"53,673,382","4,010,310,000,000,000"
La_liga,2014,15,Levante,38,9,10,19,34,67,"60,270,317,000,000,000","3,760,459,999,999,990"
La_liga,2014,16,Deportivo La Coruna,38,7,14,17,35,60,"509,793,042","4,352,490,000,000,000"
La_liga,2014,17,Granada,38,7,14,17,29,64,"54,283,784","457,345"
La_liga,2014,18,Eibar,38,9,8,21,34,55,"5,371,796,199,999,990","3,565,370,000,000,000"
La_liga,2014,19,Almeria,38,8,8,22,35,64,"58,866,805,000,000,000","39,325,500,000,000,000"
La_liga,2014,20,Cordoba,38,3,11,24,22,68,"5,733,977,600,000,000","362,912"
La_liga,2015,1,Barcelona,38,29,4,5,112,29,"34,029,090,100,000,000","9,437,999,999,999,990"
La_liga,2015,2,Real Madrid,38,28,6,4,110,34,"45,233,782","7,909,270,000,000,000"
La_liga,2015,3,Atletico Madrid,38,28,4,6,63,18,"27,797,052","7,228,030,000,000,000"
La_liga,2015,4,Villarreal,38,18,10,10,44,35,"4,163,078,800,000,000","521,071"
La_liga,2015,5,Athletic Club,38,18,8,12,58,45,"45,326,223,999,999,900","5,823,810,000,000,000"
La_liga,2015,6,Celta Vigo,38,17,9,12,51,59,"5,198,172,580,000,000","53,080,999,999,999,900"
La_liga,2015,7,Sevilla,38,14,10,14,51,50,"460,882,856","636,363"
La_liga,2015,8,Malaga,38,12,12,14,38,35,"4,525,460,600,000,000","5,308,010,000,000,000"
La_liga,2015,9,Real Sociedad,38,13,9,16,45,48,"48,036,505,000,000,000","527,503"
La_liga,2015,10,Real Betis,38,11,12,15,34,52,"64,394,609","4,048,800,000,000,000"
La_liga,2015,11,Valencia,38,11,11,16,46,48,"61,685,717","4,672,509,999,999,990"
La_liga,2015,12,Las Palmas,38,12,8,18,45,53,"5,923,681,529,999,990","4,117,930,000,000,000"
La_liga,2015,13,Espanyol,38,12,7,19,40,74,"6,084,227,799,999,990","431,508"
La_liga,2015,14,Eibar,38,11,10,17,49,61,"50,580,983","5,402,529,999,999,990"
La_liga,2015,15,Deportivo La Coruna,38,8,18,12,45,61,"52,374,037","4,607,909,999,999,990"
La_liga,2015,16,Sporting Gijon,38,10,9,19,40,62,"6,061,672,700,000,000","406,074"
La_liga,2015,17,Granada,38,10,9,19,46,69,"62,374,919,999,999,900","38,499,399,999,999,900"
La_liga,2015,18,Rayo Vallecano,38,9,11,18,52,73,"6,508,895,700,000,000","4,577,530,000,000,000"
La_liga,2015,19,Getafe,38,9,9,20,37,67,"63,348,645","4,087,899,999,999,990"
La_liga,2015,20,Levante,38,8,8,22,37,70,"6,354,510,100,000,000","373,269"
La_liga,2016,1,Real Madrid,38,29,6,3,106,41,"36,862,559","861,701"
La_liga,2016,2,Barcelona,38,28,6,4,116,37,"31,315,663,300,000,000","8,795,349,999,999,990"
La_liga,2016,3,Atletico Madrid,38,23,9,6,70,27,"313,361,685","6,910,210,000,000,000"
La_liga,2016,4,Sevilla,38,21,9,8,69,49,"38,704,635","661,788"
La_liga,2016,5,Villarreal,38,19,10,9,56,33,"431,643,821","5,957,190,000,000,000"
La_liga,2016,6,Real Sociedad,38,19,7,12,59,53,"437,127,224","54,935,799,999,999,900"
